t_s,n_m,e_m,alt_m,yaw_deg
0.0017355999443680048,-0.001,-0.003,-0.248,0.08
0.20472889998927712,-0.001,-0.003,-0.248,0.08
0.3061498000752181,-0.001,-0.003,-0.248,0.08
0.5075316000729799,-0.001,-0.003,-0.248,0.08
0.6098710000514984,-0.001,-0.003,-0.248,0.08
0.7117497001308948,-0.001,-0.003,-0.248,0.08
0.9125381999183446,-0.001,-0.003,-0.248,0.08
1.0236057001166046,-0.001,-0.002,-0.248,0.08
1.125660400139168,-0.001,-0.003,-0.248,0.08
1.3281205999664962,-0.001,-0.002,-0.248,0.08
1.4301392000634223,-0.001,-0.002,-0.248,0.08
1.6311071999371052,-0.001,-0.002,-0.248,0.08
1.7339498000219464,-0.001,-0.002,-0.248,0.08
1.8368520000949502,-0.001,-0.002,-0.248,0.08
2.049529700074345,-0.001,-0.003,-0.247,0.08
2.1611460999120027,-0.001,-0.004,-0.243,0.13
2.2709274000953883,-0.001,-0.005,-0.239,0.13
2.4753674999810755,-0.0,-0.007,-0.234,0.14
2.577072000131011,-0.0,-0.009,-0.228,0.11
2.692621700000018,-0.0,-0.012,-0.222,0.1
2.893526199972257,-0.0,-0.014,-0.215,0.05
2.9942771999631077,-0.0,-0.016,-0.207,0.04
3.106175299966708,-0.0,-0.019,-0.198,0.0
3.307257200125605,0.0,-0.021,-0.188,0.02
3.4213284000288695,-0.0,-0.023,-0.178,0.0
3.622610199963674,0.0,-0.026,-0.167,0.04
3.7230945001356304,0.0,-0.029,-0.155,0.03
3.8336813000496477,0.0,-0.031,-0.143,0.07
4.035426500020549,0.0,-0.034,-0.129,0.05
4.136372199980542,0.0,-0.037,-0.115,0.07
4.248675199924037,0.0,-0.04,-0.1,0.05
4.449478199938312,0.0,-0.043,-0.085,0.06
4.562551399925724,0.0,-0.046,-0.068,0.03
4.674198700115085,0.0,-0.049,-0.051,0.05
4.875168200116605,0.0,-0.052,-0.033,0.03
4.991233899956569,0.0,-0.055,-0.014,0.04
5.10385930002667,0.0,-0.058,0.005,0.0
5.204529799986631,0.0,-0.058,0.005,0.0
5.318175200140104,0.0,-0.061,0.025,0.03
5.4341975001152605,0.0,-0.063,0.046,0.0
5.536848700139672,0.0,-0.066,0.068,0.01
5.749623199924827,0.0,-0.069,0.091,-0.01
5.850786300143227,0.0,-0.072,0.114,0.01
5.963321299990639,0.0,-0.075,0.138,0.0
6.164683399954811,0.0,-0.077,0.163,0.0
6.2652181999292225,0.0,-0.08,0.188,0.03
6.466965900035575,0.0,-0.083,0.214,0.05
6.567795899929479,0.0,-0.085,0.241,0.05
6.6823895000852644,0.0,-0.088,0.269,0.07
6.883623500121757,0.0,-0.091,0.297,0.05
6.9841660999227315,0.0,-0.093,0.327,0.06
7.185258900048211,0.0,-0.096,0.356,0.05
7.286043799947947,0.0,-0.098,0.387,0.05
7.397866700077429,0.0,-0.101,0.418,0.03
7.599519900046289,0.0,-0.103,0.451,0.03
7.711898100096732,0.0,-0.106,0.483,0.05
7.913377400022,0.0,-0.108,0.517,0.07
8.014293699990958,-0.0,-0.111,0.551,0.1
8.127076999982819,-0.0,-0.113,0.586,0.11
8.328147599939257,-0.0,-0.115,0.622,0.13
8.44244430004619,-0.0,-0.118,0.658,0.13
8.555231699952856,-0.0,-0.12,0.695,0.11
8.75692560011521,-0.0,-0.122,0.733,0.08
8.868503200123087,-0.0,-0.125,0.771,0.09
8.983272700104862,-0.0,-0.127,0.811,0.08
9.199076300021261,-0.0,-0.129,0.85,0.11
