t_s,n_m,e_m,alt_m,yaw_deg
0.002934300107881427,1.607,1.322,-0.248,43.43
0.10766370012424886,1.607,1.322,-0.248,43.43
0.311428900109604,1.607,1.322,-0.248,43.43
0.4149176001083106,1.607,1.322,-0.248,43.43
0.5272097000852227,1.607,1.322,-0.248,43.43
0.7364149999339134,1.607,1.322,-0.248,43.43
0.8422540000174195,1.607,1.322,-0.248,43.43
0.9487199999857694,1.607,1.322,-0.248,43.43
1.0529541000723839,1.607,1.322,-0.248,43.43
1.1549058000091463,1.607,1.322,-0.248,43.43
1.2593672999646515,1.607,1.322,-0.248,43.43
1.3633737000636756,1.607,1.322,-0.248,43.43
1.5683738999068737,1.607,1.322,-0.248,43.43
1.6736942001152784,1.607,1.322,-0.248,43.43
1.7760431999340653,1.607,1.322,-0.248,43.43
1.8772436999715865,1.607,1.322,-0.248,43.43
2.102702399948612,1.607,1.322,-0.248,43.42
2.2033341000787914,1.607,1.322,-0.248,43.43
2.3050742000341415,1.607,1.322,-0.248,43.42
2.405906700063497,1.607,1.322,-0.248,43.42
2.6075738000217825,1.607,1.322,-0.248,43.42
2.708331200061366,1.607,1.322,-0.248,43.42
2.809410900110379,1.607,1.322,-0.248,43.42
2.9104675999842584,1.607,1.322,-0.248,43.42
3.1124120000749826,1.607,1.322,-0.248,43.42
3.2138734001200646,1.607,1.322,-0.248,43.42
3.316332200076431,1.607,1.322,-0.248,43.42
3.4379509000573307,1.606,1.321,-0.244,43.47
3.5423143999651074,1.605,1.32,-0.238,43.43
3.750044699991122,1.604,1.319,-0.23,43.44
3.8540990999899805,1.603,1.317,-0.219,43.38
3.964266400085762,1.601,1.315,-0.206,43.39
4.065167400054634,1.6,1.314,-0.192,43.34
4.186742499936372,1.598,1.312,-0.175,43.37
4.307741600088775,1.597,1.31,-0.155,43.32
4.428996900096536,1.596,1.309,-0.134,43.37
4.630236400058493,1.594,1.307,-0.11,43.33
4.7312970999628305,1.593,1.305,-0.084,43.38
4.831803899956867,1.591,1.304,-0.056,43.35
4.954258300131187,1.59,1.302,-0.026,43.41
5.073943000053987,1.588,1.3,0.006,43.37
5.194258700124919,1.587,1.298,0.041,43.42
5.299832199933007,1.585,1.296,0.078,43.4
5.441858200123534,1.583,1.294,0.117,43.46
5.648187699960545,1.582,1.292,0.158,43.43
5.763892299961299,1.581,1.291,0.179,43.45
5.909981900127605,1.58,1.29,0.201,43.47
6.045296899974346,1.578,1.288,0.246,43.41
6.259161500027403,1.577,1.286,0.294,43.45
6.39319820003584,1.575,1.285,0.343,43.41
6.89865170000121,1.574,1.283,0.395,43.44
7.113113800063729,1.572,1.281,0.449,43.4
7.224240799900144,1.571,1.279,0.505,43.48
7.3390677000861615,1.569,1.277,0.563,43.55
7.556391099933535,1.568,1.275,0.623,43.69
7.690258499933407,1.566,1.274,0.686,43.73
7.893721499945968,1.565,1.272,0.75,43.76
7.995282700052485,1.563,1.27,0.816,43.67
8.09732439997606,1.562,1.268,0.885,43.59
8.197925199987367,1.56,1.266,0.955,43.47
8.312596499919891,1.559,1.265,1.028,43.4
8.429728100076318,1.557,1.263,1.103,43.34
8.54400400002487,1.556,1.261,1.18,43.37
8.660415800055489,1.555,1.26,1.258,43.42
8.862526699900627,1.553,1.257,1.381,43.53
8.963674500118941,1.551,1.255,1.465,43.66
9.080605099909008,1.549,1.253,1.594,43.72
9.19609640003182,1.548,1.251,1.683,43.72
